OrderID,Date,Customer,Region,Category,Product,Quantity,UnitPrice,Discount(%),TotalSales,Salesperson,Month,Month_Name,Quarter
ORD0020,2024-02-13,CityShop,North,Electronics,Smartphone,19,25000,0,475000.0,Arjun,2024-02,Feb 2024,Q1
ORD0021,2024-03-25,MegaMall,West,Clothing,Jeans,16,1299,20,16627.2,Meera,2024-03,Mar 2024,Q1
ORD0022,2024-08-12,HomeHub,West,Clothing,Jacket,13,2499,10,29238.3,Adithyan,2024-08,Aug 2024,Q3
ORD0023,2024-01-11,BestDeal,South,Clothing,Jeans,3,1299,10,3507.3,Arjun,2024-01,Jan 2024,Q1
ORD0024,2024-04-27,ShopEasy,North,Clothing,T-Shirt,3,499,0,1497.0,Rahul,2024-04,Apr 2024,Q2
ORD0025,2024-04-19,HomeHub,South,Electronics,Smartphone,9,25000,15,191250.0,Divya,2024-04,Apr 2024,Q2
ORD0026,2024-04-07,ShopEasy,North,Grocery,Oil (1L),16,180,15,2448.0,Divya,2024-04,Apr 2024,Q2
ORD0027,2024-08-27,TechMart,North,Grocery,Biscuits,14,90,15,1071.0,Adithyan,2024-08,Aug 2024,Q3
ORD0028,2024-04-08,StarStore,West,Grocery,Biscuits,4,90,5,342.0,Meera,2024-04,Apr 2024,Q2
ORD0029,2024-05-07,ShopEasy,West,Grocery,Oil (1L),9,180,15,1377.0,Arjun,2024-05,May 2024,Q2
ORD0030,2024-02-17,StarStore,South,Electronics,Laptop,18,55000,0,990000.0,Priya,2024-02,Feb 2024,Q1
ORD0031,2024-01-31,QuickBuy,West,Grocery,Coffee,7,450,15,2677.5,Adithyan,2024-01,Jan 2024,Q1
ORD0032,2024-08-04,HomeHub,West,Grocery,Biscuits,15,90,10,1215.0,Meera,2024-08,Aug 2024,Q3
ORD0033,2024-10-23,HomeHub,North,Clothing,Jacket,7,2499,0,17493.0,Divya,2024-10,Oct 2024,Q4
ORD0034,2024-09-01,HomeHub,South,Furniture,Chair,2,4500,20,7200.0,Adithyan,2024-09,Sep 2024,Q3
ORD0035,2024-02-04,StarStore,West,Electronics,Smartphone,3,25000,20,60000.0,Adithyan,2024-02,Feb 2024,Q1
ORD0036,2024-08-02,BestDeal,East,Clothing,T-Shirt,20,499,0,9980.0,Rahul,2024-08,Aug 2024,Q3
ORD0037,2024-07-21,QuickBuy,East,Clothing,Jacket,8,2499,10,17992.8,Priya,2024-07,Jul 2024,Q3
ORD0038,2024-11-14,BestDeal,North,Furniture,Chair,1,4500,15,3825.0,Adithyan,2024-11,Nov 2024,Q4
ORD0039,2024-02-05,StarStore,East,Clothing,Jacket,5,2499,10,11245.5,Rahul,2024-02,Feb 2024,Q1
ORD0040,2024-11-09,HomeHub,North,Clothing,Shoes,18,1999,10,32383.8,Divya,2024-11,Nov 2024,Q4
ORD0041,2024-02-29,ShopEasy,South,Furniture,Chair,5,4500,10,20250.0,Rahul,2024-02,Feb 2024,Q1
ORD0042,2024-12-17,MegaMall,West,Furniture,Desk,11,8500,5,88825.0,Rahul,2024-12,Dec 2024,Q4
ORD0043,2024-01-23,TechMart,East,Electronics,Laptop,14,55000,10,693000.0,Meera,2024-01,Jan 2024,Q1
ORD0044,2024-12-27,GreenLeaf,North,Furniture,Desk,15,8500,20,102000.0,Adithyan,2024-12,Dec 2024,Q4
ORD0045,2024-07-08,BestDeal,South,Electronics,Smartphone,18,25000,0,450000.0,Priya,2024-07,Jul 2024,Q3
ORD0046,2024-01-21,FreshMart,South,Clothing,T-Shirt,10,499,10,4491.0,Divya,2024-01,Jan 2024,Q1
ORD0047,2024-07-27,BestDeal,South,Clothing,T-Shirt,12,499,20,4790.4,Meera,2024-07,Jul 2024,Q3
ORD0048,2024-04-01,FreshMart,West,Clothing,Jeans,14,1299,0,18186.0,Divya,2024-04,Apr 2024,Q2
ORD0049,2024-07-14,TechMart,West,Clothing,Jacket,6,2499,0,14994.0,Meera,2024-07,Jul 2024,Q3
ORD0050,2024-04-26,StarStore,North,Clothing,Shoes,12,1999,10,21589.2,Divya,2024-04,Apr 2024,Q2
ORD0051,2024-02-05,MegaMall,East,Clothing,Shoes,11,1999,10,19790.1,Divya,2024-02,Feb 2024,Q1
ORD0052,2024-05-13,QuickBuy,East,Grocery,Biscuits,1,90,0,90.0,Adithyan,2024-05,May 2024,Q2
ORD0053,2024-08-11,BestDeal,North,Electronics,Tablet,12,30000,10,324000.0,Priya,2024-08,Aug 2024,Q3
ORD0054,2024-01-01,HomeHub,South,Clothing,Jacket,2,2499,15,4248.3,Rahul,2024-01,Jan 2024,Q1
ORD0055,2024-06-09,ShopEasy,East,Grocery,Rice (5kg),11,350,20,3080.0,Arjun,2024-06,Jun 2024,Q2
ORD0056,2024-12-22,MegaMall,South,Furniture,Sofa,11,18000,15,168300.0,Meera,2024-12,Dec 2024,Q4
ORD0057,2024-10-18,MegaMall,West,Grocery,Coffee,6,450,20,2160.0,Arjun,2024-10,Oct 2024,Q4
ORD0058,2024-08-08,BestDeal,East,Electronics,Headphones,10,3500,5,33250.0,Priya,2024-08,Aug 2024,Q3
ORD0059,2024-08-30,QuickBuy,North,Grocery,Coffee,7,450,20,2520.0,Rahul,2024-08,Aug 2024,Q3
ORD0060,2024-04-25,StarStore,South,Furniture,Chair,8,4500,10,32400.0,Adithyan,2024-04,Apr 2024,Q2
ORD0061,2024-02-07,CityShop,West,Electronics,Smartphone,16,25000,20,320000.0,Divya,2024-02,Feb 2024,Q1
ORD0062,2024-05-04,QuickBuy,North,Clothing,Shoes,16,1999,15,27186.4,Adithyan,2024-05,May 2024,Q2
ORD0063,2024-08-25,TechMart,South,Grocery,Oil (1L),6,180,20,864.0,Adithyan,2024-08,Aug 2024,Q3
ORD0064,2024-10-13,BestDeal,East,Grocery,Oil (1L),15,180,20,2160.0,Priya,2024-10,Oct 2024,Q4
ORD0065,2024-08-18,MegaMall,South,Grocery,Coffee,6,450,15,2295.0,Divya,2024-08,Aug 2024,Q3
ORD0066,2024-08-13,ShopEasy,East,Furniture,Sofa,8,18000,10,129600.0,Meera,2024-08,Aug 2024,Q3
ORD0067,2024-02-11,QuickBuy,South,Furniture,Bookshelf,11,3200,20,28160.0,Meera,2024-02,Feb 2024,Q1
ORD0068,2024-07-31,GreenLeaf,East,Grocery,Oil (1L),7,180,0,1260.0,Arjun,2024-07,Jul 2024,Q3
ORD0069,2024-08-03,GreenLeaf,North,Grocery,Coffee,2,450,5,855.0,Arjun,2024-08,Aug 2024,Q3
ORD0070,2024-06-01,GreenLeaf,West,Grocery,Coffee,1,450,10,405.0,Arjun,2024-06,Jun 2024,Q2
ORD0071,2024-08-11,CityShop,North,Clothing,Shoes,8,1999,10,14392.8,Priya,2024-08,Aug 2024,Q3
ORD0072,2024-03-06,BestDeal,North,Furniture,Sofa,6,18000,15,91800.0,Priya,2024-03,Mar 2024,Q1
ORD0073,2024-08-24,QuickBuy,North,Electronics,Laptop,14,55000,5,731500.0,Rahul,2024-08,Aug 2024,Q3
ORD0074,2024-06-16,FreshMart,West,Grocery,Biscuits,7,90,15,535.5,Rahul,2024-06,Jun 2024,Q2
ORD0075,2024-01-10,HomeHub,North,Grocery,Biscuits,3,90,15,229.5,Rahul,2024-01,Jan 2024,Q1
ORD0076,2024-05-06,StarStore,North,Clothing,T-Shirt,2,499,0,998.0,Arjun,2024-05,May 2024,Q2
ORD0077,2024-12-08,ShopEasy,South,Clothing,Jeans,5,1299,15,5520.75,Priya,2024-12,Dec 2024,Q4
ORD0078,2024-11-06,ShopEasy,South,Furniture,Bookshelf,6,3200,20,15360.0,Rahul,2024-11,Nov 2024,Q4
ORD0079,2024-12-12,GreenLeaf,West,Electronics,Laptop,10,55000,20,440000.0,Divya,2024-12,Dec 2024,Q4
ORD0080,2024-02-22,MegaMall,North,Clothing,T-Shirt,19,499,5,9006.95,Arjun,2024-02,Feb 2024,Q1
ORD0081,2024-12-04,FreshMart,North,Electronics,Headphones,18,3500,15,53550.0,Arjun,2024-12,Dec 2024,Q4
ORD0082,2024-02-24,GreenLeaf,East,Furniture,Chair,14,4500,15,53550.0,Divya,2024-02,Feb 2024,Q1
ORD0083,2024-09-24,MegaMall,West,Grocery,Oil (1L),14,180,5,2394.0,Priya,2024-09,Sep 2024,Q3
ORD0084,2024-02-14,MegaMall,West,Grocery,Biscuits,11,90,5,940.5,Meera,2024-02,Feb 2024,Q1
ORD0085,2024-09-10,FreshMart,South,Grocery,Coffee,11,450,0,4950.0,Priya,2024-09,Sep 2024,Q3
ORD0086,2024-05-23,BestDeal,East,Clothing,Jacket,9,2499,10,20241.9,Arjun,2024-05,May 2024,Q2
ORD0087,2024-07-27,CityShop,South,Electronics,Smartphone,3,25000,5,71250.0,Divya,2024-07,Jul 2024,Q3
ORD0088,2024-02-17,MegaMall,South,Grocery,Coffee,15,450,0,6750.0,Priya,2024-02,Feb 2024,Q1
ORD0089,2024-08-30,HomeHub,East,Clothing,Jacket,19,2499,10,42732.9,Priya,2024-08,Aug 2024,Q3
ORD0090,2024-06-05,MegaMall,South,Furniture,Bookshelf,15,3200,10,43200.0,Adithyan,2024-06,Jun 2024,Q2
ORD0091,2024-12-19,QuickBuy,South,Clothing,Jacket,4,2499,20,7996.8,Meera,2024-12,Dec 2024,Q4
ORD0092,2024-11-01,MegaMall,North,Grocery,Biscuits,19,90,20,1368.0,Meera,2024-11,Nov 2024,Q4
ORD0093,2024-06-03,TechMart,South,Furniture,Desk,12,8500,5,96900.0,Rahul,2024-06,Jun 2024,Q2
ORD0094,2024-12-23,QuickBuy,West,Electronics,Laptop,18,55000,10,891000.0,Adithyan,2024-12,Dec 2024,Q4
ORD0095,2024-08-13,FreshMart,South,Electronics,Headphones,16,3500,15,47600.0,Adithyan,2024-08,Aug 2024,Q3
ORD0096,2024-07-24,CityShop,North,Furniture,Sofa,4,18000,0,72000.0,Arjun,2024-07,Jul 2024,Q3
ORD0097,2024-06-04,ShopEasy,South,Electronics,Smartphone,5,25000,20,100000.0,Adithyan,2024-06,Jun 2024,Q2
ORD0098,2024-08-18,CityShop,East,Grocery,Oil (1L),17,180,15,2601.0,Arjun,2024-08,Aug 2024,Q3
ORD0099,2024-01-31,BestDeal,North,Grocery,Biscuits,19,90,20,1368.0,Meera,2024-01,Jan 2024,Q1
ORD0100,2024-05-02,QuickBuy,North,Clothing,Jacket,3,2499,5,7122.15,Meera,2024-05,May 2024,Q2
